RENDICION DE BSP																								
JAZZ																								
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
COMPAÑIA	AA																							
FILE	Nº TICKET	FECHA	TARIFA	OFFLINE	CASH	TARJETA	IMPUESTOS	Resols.	(IVA)	COMISION	SUBTOTAL	NETO	%	OVER	A PAGAR	TOUR CODE	NRO TARJETA	OC						
67022     USD	1403-649382-2	6/2/2025	        206.00		        268.50		       62.50				        268.50				        268.50									
65840     PES	1822-357173-	8/1/2025	     128980.20		     128980.20						     128980.20				     128980.20									
65840     PES	1822-357174-	8/1/2025	     128980.20		     128980.20						     128980.20				     128980.20									
65870     USD	1849993156	9/1/2025	        200.00		        200.00						        200.00				        200.00									
65836     USD	3583-675320-1	8/1/2025	       2011.00		       2619.70		      608.70				       2619.70				       2619.70									
65836     USD	3583-675321-2	8/1/2025	       2011.00		       2619.70		      608.70				       2619.70				       2619.70									
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
66628     USD	5604-912273-2	27/1/2025	        277.00		        339.10		       62.10				        339.10				        339.10									
66628     USD	5604-912274-3	27/1/2025	        277.00		        339.10		       62.10				        339.10				        339.10									
66628     USD	5604-912275-4	27/1/2025	        277.00		        339.10		       62.10				        339.10				        339.10									
66628     USD	5604-912276-5	27/1/2025	        222.00		        284.10		       62.10				        284.10				        284.10									
66628     USD	5604-912277-6	27/1/2025	        277.00		        339.10		       62.10				        339.10				        339.10									
66628     USD	5604-912278-0	27/1/2025	        277.00		        339.10		       62.10				        339.10				        339.10									
66628     USD	5604-912279-1	27/1/2025	        222.00		        284.10		       62.10				        284.10				        284.10									
66971     PES	5605-005805-0	5/2/2025	    2809818.00		    3997146.90		  1187328.90				    3997146.90		  5.00	   140490.90	    3856656.00									
	SUBTOTAL:		    3077233.40		    4267629.20		  1190395.80	   566508.60			    4267629.20			   140591.70	    4127037.50									
	# TICKETS:	21																						
																								
COMPAÑIA	AM																							
FILE	Nº TICKET	FECHA	TARIFA	OFFLINE	CASH	TARJETA	IMPUESTOS	Resols.	(IVA)	COMISION	SUBTOTAL	NETO	%	OVER	A PAGAR	TOUR CODE	NRO TARJETA	OC						
65723     USD	1403-428572-0	6/1/2025	       3550.00		       3993.86		      443.86				       3993.86		  6.00	      213.00	       3780.86									
65723     USD	1403-428573-1	6/1/2025	       3550.00		       3993.86		      443.86				       3993.86		  6.00	      213.00	       3780.86									
66488     USD	1403-576875-1	23/1/2025	         74.00		        120.93		       46.93				        120.93				        120.93									
66762     USD	1403-649270-2	30/1/2025																						
66762     USD	1403-649271-3	30/1/2025																						
66766     USD	1403-649277-2	30/1/2025	        219.00		        288.06		       69.06				        288.06				        288.06									
66766     USD	1403-649278-3	30/1/2025	        219.00		        288.06		       69.06				        288.06				        288.06									
66853     USD	1403-649300-4	1/2/2025	        806.00		       1040.24		      234.24				       1040.24		  3.00	       24.18	       1016.06									
66853     USD	1403-649301-5	1/2/2025	        605.00		        825.24		      220.24				        825.24		  3.00	       18.15	        807.09									
66853     USD	1403-649302-6	1/2/2025	        806.00		       1040.24		      234.24				       1040.24		  3.00	       24.18	       1016.06									
66853     USD	1403-649303-0	1/2/2025	        806.00		       1040.24		      234.24				       1040.24		  3.00	       24.18	       1016.06									
66984     USD	1403-649350-	5/2/2025	        240.45		        240.45						        240.45				        240.45									
66488     USD	1849996181	23/1/2025	         43.90		         50.90		        7.00				         50.90				         50.90									
66766     USD	1849997561	29/1/2025	         73.80		         76.80		        3.00				         76.80				         76.80									
66984     USD	1849998675	5/2/2025	         67.30		         78.10		       10.80				         78.10				         78.10									
66145     USD	3583-724109-0	15/1/2025	        102.00		        153.45		       51.45				        153.45				        153.45									
66145     USD	3583-724110-1	15/1/2025	        102.00		        153.45		       51.45				        153.45				        153.45									
	SUBTOTAL:		      11264.45		      13383.88		     2119.43	   566508.60			      13383.88			      516.69	      12867.19									
	# TICKETS:	17																						
																								
COMPAÑIA	AR																							
FILE	Nº TICKET	FECHA	TARIFA	OFFLINE	CASH	TARJETA	IMPUESTOS	Resols.	(IVA)	COMISION	SUBTOTAL	NETO	%	OVER	A PAGAR	TOUR CODE	NRO TARJETA	OC						
65635     PES	1403-428505-3	2/1/2025	     142402.00		     171594.05		    29192.05		    15625.06		     171594.05				     171594.05									
65639     PES	1403-428506-4	2/1/2025	     143274.00		     167721.30		    24447.30				     167721.30				     167721.30									
65639     PES	1403-428507-5	2/1/2025	     143274.00		     167721.30		    24447.30				     167721.30				     167721.30									
65638     PES	1403-428508-6	2/1/2025	     715588.00		     840885.10		   125297.10		    78517.90		     840885.10				     840885.10									
65638     PES	1403-428509-0	2/1/2025	     715588.00		     840885.10		   125297.10		    78517.90		     840885.10				     840885.10									
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
65641     PES	1403-428510-1	2/1/2025			    -326743.10	     326811.70	       68.60				    -326743.10				    -326743.10		AX+							
65641     PES	1403-428511-2	2/1/2025	     530460.00			     765651.70	    76053.70	   159138.00									AX000000000001000							
65643     USD	1403-428512-3	2/1/2025	       2204.00		       3079.60		      875.60				       3079.60		 10.00	      220.40	       2859.20	NRZGH/BUE6								
65648     PES	1403-428513-4	2/1/2025	     523010.00		     624659.87		   101649.87		    57387.28		     624659.87				     624659.87									
65648     PES	1403-428514-5	2/1/2025	     523010.00		     624659.87		   101649.87		    57387.28		     624659.87				     624659.87									
